Mixture,Group,Mean
NaknekSectionSet250616to250809,Kuskokwim,0.002487013
NaknekSectionSet250616to250809,Togiak,0
NaknekSectionSet250616to250809,Igushik,0.027706028
NaknekSectionSet250616to250809,Wood,0.003018497
NaknekSectionSet250616to250809,Nushagak,1.05984E-19
NaknekSectionSet250616to250809,Kvichak,0.278032152
NaknekSectionSet250616to250809,Alagnak,0.099891835
NaknekSectionSet250616to250809,Naknek,0.570796779
NaknekSectionSet250616to250809,Egegik,0.018067696
NaknekSectionSet250616to250809,Ugashik,3.07971E-21
NaknekSectionSet250616to250809,North Peninsula,4.97933E-20
25 Nak Set Harv:,,1360150
,,
KvichakSectionSet250616to250801,Kuskokwim,0
KvichakSectionSet250616to250801,Togiak,0.010929113
KvichakSectionSet250616to250801,Igushik,0
KvichakSectionSet250616to250801,Wood,0.003421847
KvichakSectionSet250616to250801,Nushagak,0.008478844
KvichakSectionSet250616to250801,Kvichak,0.432832407
KvichakSectionSet250616to250801,Alagnak,0.261180026
KvichakSectionSet250616to250801,Naknek,0.264198848
KvichakSectionSet250616to250801,Egegik,0.018958915
KvichakSectionSet250616to250801,Ugashik,0
KvichakSectionSet250616to250801,North Peninsula,9.68009E-20
25 Kvi Set Harv:,,1346036
,,
IgushikAverage,Kuskokwim,0.00014317
IgushikAverage,Togiak,0.000178268
IgushikAverage,Igushik,0.914008148
IgushikAverage,Wood,0.066577175
IgushikAverage,Nushagak,0.005752665
IgushikAverage,Kvichak,0.005437874
IgushikAverage,Alagnak,0.004130665
IgushikAverage,Naknek,0.002809168
IgushikAverage,Egegik,0.000392152
IgushikAverage,Ugashik,0.00047178
IgushikAverage,North Peninsula,9.86387E-05
25 Igu Set Harv:,,667014
,,
WRSHAAverage,Kuskokwim,0.000259554
WRSHAAverage,Togiak,8.26441E-05
WRSHAAverage,Igushik,0.003380944
WRSHAAverage,Wood,0.920775292
WRSHAAverage,Nushagak,0.074862264
WRSHAAverage,Kvichak,0.000252546
WRSHAAverage,Alagnak,0.000117003
WRSHAAverage,Naknek,8.33552E-05
WRSHAAverage,Egegik,5.85639E-05
WRSHAAverage,Ugashik,7.27884E-05
WRSHAAverage,North Peninsula,5.47459E-05
25 WRSHA Harv:,,570955
