year,offshoreCatch
1956,330349
1957,7513222
1958,512000
1959,676463
1960,3883000
1961,6383000
1962,1286000
1963,1150000
1964,558000
1965,7718000
1966,2517000
1967,1177000
1968,1460000
1969,2888000
1970,5651000
1971,2659000
1972,1821000
1973,1101000
1974,570000
1975,1592000
1976,1308000
1977,1007000
1978,939000
1979,1166000
1980,3893000
1981,2643000
1982,2564000
1983,2285000
1984,1679200
1985,1968900
1986,764000
1987,959859
1988,756687
1989,1744505
1990,1346295
1991,1548930
1992,2457856
1993,2973744
1994,1461263
1995,2105321
1996,1037360
1997,1568326
1998,1301020
1999,1405478
2000,1271585
2001,150632
2002,591106
2003,453146
2004,1348073
2005,1004395
2006,932291
2007,1589840
2008,1701069
2009,1167918
2010,818865
2011,1359441
2012,1528751
2013,1556518
2014,637203
2015,1118451
2016,1292860
2017,1956065
2018,822173
2019,630888
2020,339293
2021,3528927
