"","years","togiakOffshore"
"1",1963,48557.0644940562
"2",1964,17363.2852474325
"3",1965,43508.2365198558
"4",1966,40437.6921785519
"5",1967,15964.0935036938
"6",1968,19923.0169471421
"7",1969,37326.8047291616
"8",1970,49201.4702056329
"9",1971,65685.7711207849
"10",1972,42708.1245001585
"11",1973,78118.2900100944
"12",1974,10213.7047784932
"13",1975,23233.3140277468
"14",1976,51691.3643806562
"15",1977,34977.0754990008
"16",1978,32752.6792920403
"17",1979,16444.830087752
"18",1980,65199.0566995127
"19",1981,63875.4646461953
"20",1982,94776.2127245042
"21",1983,35970.8295567977
"22",1984,12519.4507628672
"23",1985,14456.6271466223
"24",1986,11542.042488153
"25",1987,18568.0731059655
"26",1988,30897.456972782
"27",1989,6186.78872249273
"28",1990,8911.25055239934
"29",1991,29072.0941205102
"30",1992,44236.1714719274
"31",1993,37534.0859549958
"32",1994,14043.7981909206
"33",1995,25385.538697558
"34",1996,15284.5929620672
"35",1997,19022.4144377911
"36",1998,18995.4170888433
"37",1999,18837.7155880405
"38",2000,50470.4083929858
"39",2001,8455.15200210881
"40",2002,14564.1785170128
"41",2003,17318.2350467495
"42",2004,15633.3273655475
"43",2005,16387.4886427844
"44",2006,20609.8363682769
"45",2007,40723.1393800077
"46",2008,35999.6417768929
"47",2009,24673.5663948075
"48",2010,15596.0766135644
"49",2011,37733.6317991009
"50",2012,43563.0643488467
"51",2013,39211.4401338352
"52",2014,9418.55162690602
"53",2015,11556.421865226
"54",2016,15437.3432563766
"55",2017,24792.0234449711
