"","dist","Kuskokwim","Togiak","Igushik","Wood","Nushagak","Kvichak","Alagnak","Naknek","Egegik","Ugashik","North Peninsula","year"
"1",321,0.000631470073019541,0.000496312806556791,0.00151854840346528,0.155127547989485,0.0487337753685807,0.00254273954259271,0.000788253381935374,0.0236927670927282,0.0182389038128095,0.747751688057309,0.000477993471517557,2018
"2",322,0.000992422627584045,0.000606297531362073,0.00230746675684453,0.0109788114634835,0.0127205505427816,0.04948843352622,0.0102019620697062,0.0724333883164638,0.653324239947638,0.186187722276318,0.000758704941598808,2018
"3",324,0.000442915471751291,0.000467254637825693,0.00437895104060913,0.0112116001836005,0.00402386875285625,0.322927263503929,0.137602323116249,0.448971421277692,0.0466956211541492,0.0227870212522056,0.000491759609132048,2018
"4",325,0.00203772913292532,0.0025821332578071,0.0243391928545736,0.590113720851102,0.371153583922114,0.00250046189935312,0.00184559527711189,0.00204969160958124,0.00145975076485919,0.00158330376997789,0.000334836660594189,2018
"5",326,0.245307909892741,0.734296956575383,0.000711461457801952,0.0154852411622802,0.00110224292965188,0.000566503028968276,0.000477042031463496,0.000504443571328724,0.000698581192087992,0.000522416556502273,0.000327201601791062,2018
"6",321,0.000327040130674051,0.00040933797877173,0.00283579965044082,0.00227616948596544,0.00234267288209768,0.00905512682190661,0.000632474349754358,0.00944672989020519,0.115741738135205,0.818789711513004,0.0381431991619753,2019
"7",322,0.000753281312626085,0.000539006003312609,0.00204811404851436,0.00145893685402299,0.0018624672451605,0.0211277685178396,0.00718593349307085,0.0459572879275255,0.885704136698893,0.0329428321176957,0.000420235781339165,2019
"8",324,0.00383449344249168,0.00050492908559382,0.00788497646620582,0.0167849579159831,0.0193246960414813,0.397307934473098,0.0714132259629295,0.417106692565248,0.0639088779259513,0.00156043322045789,0.000368782900559045,2019
"9",325,0.016156679453298,0.00438326271239577,0.0518181780915667,0.663709847116974,0.235294360520382,0.0123966661713476,0.000733855993062578,0.0118297261162988,0.000972816218495465,0.00237699987306471,0.000327607733114466,2019
"10",326,0.260435528623344,0.655977193239191,0.0083122958425498,0.0181582243807231,0.0436169642934834,0.000267093780568043,0.000496713309552722,0.000380665306993411,0.000428005864855833,0.000436705978181868,0.0114906093805568,2019
"11",321,0.000500655870632063,0.000520165324058004,0.00051288318741592,0.00069981653491976,0.000538767054168422,0.00718259421570757,0.0072265551838648,0.00635338414114818,0.0774655396860762,0.895257484896889,0.00374215390511996,2020
"12",322,0.000624207246279132,0.000488198694811171,0.00875770477210145,0.0164525766803727,0.00629615885621945,0.0218685832585834,0.00923422627182551,0.0245212805888757,0.857559495878912,0.0535139732648039,0.000683594487216123,2020
"13",324,0.000571033359824647,0.000567031318534246,0.00770879696539062,0.0159388275272871,0.00595025999195986,0.357133285567037,0.136448731496683,0.377212536793654,0.0940935218755182,0.00314589228109813,0.00123008282301341,2020
"14",325,0.000718606320116062,0.00063809905047358,0.0635952044605382,0.663059624882691,0.252758149481259,0.0115291240738799,0.000833270568996483,0.00553715122529138,0.000467537505103096,0.000494783630578798,0.000368448801073127,2020
"15",326,0.188073191189501,0.764887262197398,0.0126074518188948,0.00149520457791454,0.00501428548808501,0.00114919213299895,0.000607345235777741,0.000666918037325553,0.00818183531398879,0.00278932768446126,0.0145279863236546,2020
"16",321,0.000459647828815165,0.000823885665615145,0.000492398106258452,0.000455290351593646,0.00158804535955705,0.00160748892632369,0.0124211411013449,0.00193192633301534,0.0317773448633447,0.943076516597767,0.00536631486636455,2021
"17",322,0.000600668598873768,0.000680280594717683,0.00406953836077012,0.00756979220891227,0.00714949094881279,0.0535846267307933,0.02373996763806,0.0630070601635837,0.569128005766823,0.269730989241441,0.000739579747212624,2021
"18",324,0.0012523865075627,0.00258270442105103,0.000962031332409995,0.00192307164750633,0.00800231735202772,0.297387776026175,0.220732629597879,0.4147737928338,0.0490775125780585,0.00254148323249438,0.00076429447103569,2021
"19",325,0.00226701622330467,0.00100574440688996,0.0400601643859133,0.351185141287612,0.525267888599346,0.0172783231387181,0.02077906528431,0.0209806689966552,0.019825264481159,0.000958665183955761,0.000392058012136576,2021
"20",326,0.191587383919551,0.772324066809124,0.00136716373163598,0.00492568945945895,0.0269261776073356,0.000523245188351729,0.000624790214325291,0.000459542486066623,0.00034284969249713,0.000518624958273515,0.000400465933380152,2021
"21",321,0.000679684808043648,0.00119005203017063,0.00636655983661646,0.000934213317023345,0.00609885755815886,0.128696821468154,0.0405610869305763,0.0313967091285991,0.179112845617746,0.604674512700547,0.000288656604365171,2022
"22",322,0.000290385281946836,0.000307164853578537,0.0014964569691342,0.00436915265058293,0.00273611152800687,0.0484136433430626,0.00417362653274927,0.0189807218914569,0.829065890667579,0.0899105878351093,0.000256258446793959,2022
"23",324,0.000406576808491382,0.00150128784335099,0.00439098104510793,0.00387687520004079,0.0185301567955446,0.500575112397897,0.161441772998992,0.264270729230331,0.0382464397393856,0.00635978401357789,0.000400283927281017,2022
"24",325,0.000538951582435234,0.00125258526468228,0.096201050437549,0.237730898052879,0.553010274056743,0.0397881983675843,0.00375284887861695,0.0411035074522484,0.0191049191493475,0.00713556624068998,0.000381200517223704,2022
"25",326,0.0270045951573992,0.900510090643772,0.0100257032197605,0.00541521723727679,0.0424081704931396,0.000821438978518601,0.00286081670925039,0.000961370611821071,0.00782447348378906,0.00161406821737434,0.000554055247898547,2022
