"","return.year","brood.year","escapement","f.cast.age","sibling","ln.sib","ln.f.cast.age","ln.RS"
"1",1976,1972,430602,802385.790496881,1706.68174855033,7.44289202709838,13.5953460530029,0.622405298136968
"2",1977,1973,330474,233282.44767934,1244.91692218225,7.12762702150831,12.3600095068399,-0.348278046295548
"3",1978,1974,1708836,3403445.31289297,2408.93068241359,7.78735326358706,15.0402990976582,0.688975808896469
"4",1979,1975,1270116,1796332.40782871,30667.3261490408,10.3309856794547,14.4012581497183,0.3466388001823
"5",1980,1976,817008,2652958.12333458,1967.11000113719,7.58482897093692,14.7911862252871,1.17778168263359
"6",1981,1977,561828,1275546.00636232,19300.0332983165,9.8679139122327,14.0588856691678,0.819933852979176
"7",1982,1978,2267238,1274165.7896847,0,0,14.0578030246651,-0.576270668702108
"8",1983,1979,1706352,2360528.68984207,16285.5315543595,9.69809376022461,14.6743965966662,0.324527856683909
"9",1984,1980,2969040,472215.585427267,0,0,13.0651930267509,-1.83855831712852
"10",1985,1981,1233318,613921.915817278,0,0,13.3276246549764,-0.697595630330541
"11",1986,1982,976470,533178.132332403,3627.66750504082,8.19662078136794,13.1866127298599,-0.605088452544842
"12",1987,1983,1360968,1839382.77120345,1358.70122040682,7.21502026371718,14.4249411665367,0.301233853642428
"13",1988,1984,1002792,586695.162952895,381.823930147657,5.94757517107229,13.282262354843,-0.536038017190162
"14",1989,1985,939000,1380822.30185249,1454.52109624768,7.28311925723913,14.1381904747863,0.385618992390012
"15",1990,1986,818652,1225883.75435902,2186.65410116098,7.69058506199557,14.0191733897214,0.403758209872577
"16",1991,1987,1337172,1579965.35420733,0,0,14.2729141099709,0.166845983013102
"17",1992,1988,866778,1850506.32317076,1123.72960466152,7.02529793433751,14.4309703882016,0.75843168019755
"18",1993,1989,1186410,2563487.26427029,4109.94372806682,8.32140789866672,14.756879492185,0.770436603460706
"19",1994,1990,1069440,1122283.38620057,1442.11172103988,7.27455697853494,13.9308767965852,0.0482302005959103
"20",1995,1991,1159920,2739166.72702597,12307.0191636498,9.41800629344834,14.8231646829625,0.859302722700971
"21",1996,1992,1286250,2380885.83567677,1295.2268207384,7.16721287760056,14.6829835962743,0.615741610132263
"22",1997,1993,1176126,1710296.46458879,0,0,14.3521778692501,0.374440739997899
"23",1998,1994,1471890,2990516.69954421,10891.9498666313,9.29587105772459,14.9109570740395,0.708898892431394
"24",1999,1995,1482162,4452434.93814906,7336.07822762095,8.90069598072898,15.3089619062039,1.09994929100279
"25",2000,1996,1649598,3104643.30313033,0,0,14.94840971063,0.632367208702846
"26",2001,1997,1512396,204615.171809202,0,0,12.2288911704768,-2.00031942292687
"27",2002,1998,1755768,3038333.5432708,2776.46904398716,7.92929537617253,14.9268200756508,0.548402820525285
"28",2003,1999,1512426,2291699.64014751,725.249084375126,6.58789304740819,14.6448047375306,0.41557875910289
"29",2004,2000,1300026,3280676.02941204,4296.86349845493,8.36587331738098,15.0035603704665,0.925665243419587
"30",2005,2001,1458732,2176259.13665821,0,0,14.5931184279093,0.40003984523012
"31",2006,2002,1283682,5937283.88446856,44385.763239695,10.7006965787401,15.5967624966845,1.53151925925034
"32",2007,2003,1459782,5350245.61154718,4139.74833188124,8.32863180697793,15.4926532134261,1.2988553590514
"33",2008,2004,1543392,3912884.10041349,10784.4738201332,9.28595549111118,15.1797855372075,0.930292132010778
"34",2009,2005,1496550,2515742.97661026,2.05130270141601e-08,2.0513026844355e-08,14.7380791335207,0.519405719014161
"35",2010,2006,4008102,4545899.60078363,40677.0334732011,10.6134435076273,15.3297364179518,0.125907827448553
"36",2011,2007,1528086,1466827.17641917,2505.6877592649,7.82671754284073,14.1986129244434,-0.0409142871472593
"37",2012,2008,1724676,1306633.21118868,2.26823960305547e-07,2.26823934556402e-07,14.082965084414,-0.277585445630489
"38",2013,2009,1319232,1382656.34945268,1789.79671708986,7.49041589315643,14.1395178210578,0.0469567907537106
"39",2014,2010,1804344,4795481.31876965,41815.6043796346,10.6410487735989,15.3831848490971,0.977476991779863
"40",2015,2011,1098006,2666595.22541511,10406.7556012363,9.25030653809845,14.7963133951578,0.887306654630239
"41",2016,2012,764211,3133423.09669789,77219.1543257213,11.2544157683363,14.9576369251838,1.41103739801508
"42",2017,2013,1183348,9669722.78007179,207823.490085285,12.2444492048189,16.084510302396,2.10065193190759
"43",2018,2014,2764614,20248839.4294834,163194.20189825,12.0027023209467,16.8236080871357,1.99119645672684
"44",2019,2015,1941474,NA,3.63730409308675e-09,3.63730400692236e-09,NA,NA
